time;temperature_2m_max;temperature_2m_min;temperature_2m_mean;precipitation_sum;wind_speed_10m_max;weather_code;fecha_arr;Ano;Dia_semana;Tipo_dia
2024-01-01;21,4;9,5;14,3;1,4;14,8;51;2024-01-01;2024;Lunes;Día lluvioso
2024-01-02;22,1;10,3;14,7;0,2;13,7;51;2024-01-02;2024;Martes;Día lluvioso
2024-01-03;22,0;8,5;14,2;0,9;13,7;51;2024-01-03;2024;Miércoles;Día lluvioso
2024-01-04;21,9;9,6;14,1;0,1;15,5;51;2024-01-04;2024;Jueves;Día lluvioso
2024-01-05;21,4;7,6;13,8;0,0;10,8;3;2024-01-05;2024;Viernes;Día sin lluvia
2024-01-06;22,5;6,7;13,6;0,0;18,2;3;2024-01-06;2024;Sábado;Día sin lluvia
2024-01-07;20,7;4,9;12,7;0,0;15,7;3;2024-01-07;2024;Domingo;Día sin lluvia
2024-01-08;21,8;5,1;13,0;0,0;12,0;3;2024-01-08;2024;Lunes;Día sin lluvia
2024-01-09;21,8;5,7;13,3;0,0;14,6;3;2024-01-09;2024;Martes;Día sin lluvia
2024-01-10;22,8;6,2;13,7;1,5;10,4;53;2024-01-10;2024;Miércoles;Día lluvioso
2024-01-11;23,5;6,9;13,9;0,4;19,6;51;2024-01-11;2024;Jueves;Día lluvioso
2024-01-12;22,3;7,7;14,3;1,4;13,1;53;2024-01-12;2024;Viernes;Día lluvioso
2024-01-13;20,7;7,7;13,2;8,3;12,8;63;2024-01-13;2024;Sábado;Día lluvioso
2024-01-14;22,5;9,2;14,7;0,0;11,0;3;2024-01-14;2024;Domingo;Día sin lluvia
2024-01-15;22,9;5,7;13,5;0,0;15,6;3;2024-01-15;2024;Lunes;Día sin lluvia
2024-01-16;21,5;4,9;12,9;0,0;13,0;3;2024-01-16;2024;Martes;Día sin lluvia
2024-01-17;22,8;4,6;13,6;0,0;15,0;3;2024-01-17;2024;Miércoles;Día sin lluvia
2024-01-18;23,4;6,3;14,2;0,0;13,3;3;2024-01-18;2024;Jueves;Día sin lluvia
